"Omzetgroep naam";"Product Name";"Aantal";"Netto omzet incl. btw";"Netto omzet excl. btw";"Btw";"Btw code";"Korting"
"Bier";"Leffe Blond";"9.00";"42.75";"35.37";"7.38";"21.00";"0.00"
"Bier";"Warsteiner";"18.00";"67.50";"55.80";"11.70";"21.00";"0.00"
"Broodjes";"Broodje Gegrilde Groente";"14.00";"115.50";"105.98";"9.52";"9.00";"0.00"
"Broodjes";"Kadet Kroket ";"21.00";"124.95";"114.66";"10.29";"9.00";"0.00"
"Broodjes";"Tafelbroodje";"6.00";"5.70";"5.22";"0.48";"9.00";"0.00"
"Gebak";"Appelflap";"14.00";"45.50";"41.72";"3.78";"9.00";"0.00"
"Gebak";"Appeltaart";"61.00";"259.25";"237.90";"21.35";"9.00";"0.00"
"Gebak";"Carrot Cake";"24.00";"94.80";"86.88";"7.92";"9.00";"0.00"
"Gebak";"Gevulde Koek";"13.00";"40.30";"36.92";"3.38";"9.00";"0.00"
"Gebak";"Meringue  (glutenarm)";"50.00";"262.50";"241.00";"21.50";"9.00";"0.00"
"Gebak";"Slagroom";"27.00";"13.50";"12.42";"1.08";"9.00";"0.00"
"Ijs";"Calippo cola";"8.00";"15.60";"14.32";"1.28";"9.00";"0.00"
"Ijs";"Cornetto";"12.00";"30.00";"27.48";"2.52";"9.00";"0.00"
"Ijs";"Dracula";"7.00";"12.25";"11.27";"0.98";"9.00";"0.00"
"Ijs";"Magnum Almond vegan";"1.00";"3.50";"3.21";"0.29";"9.00";"0.00"
"Ijs";"Magnum Classic";"6.00";"21.00";"19.26";"1.74";"9.00";"0.00"
"Ijs";"Magnum White";"6.00";"21.00";"19.26";"1.74";"9.00";"0.00"
"Ijs";"Raket";"6.00";"10.50";"9.66";"0.84";"9.00";"0.00"
"Ijs";"Solero";"7.00";"20.65";"18.97";"1.68";"9.00";"0.00"
"Ijs";"Twister Marshmallow";"5.00";"8.75";"8.05";"0.70";"9.00";"0.00"
"Kleine trek";"Saucijzenbroodje";"27.00";"106.65";"97.74";"8.91";"9.00";"0.00"
